M D A K
////////10

2,659435806712421
4,293254294046382
0,5695673675604018
-1,0688381341125601

3,454777429978718
3,713176467543117
0,26828225703943026
-1,7133016064471347

3,3502540863617227
3,5808022982394534
0,10717210629135199
-1,6071515687314168

4,036743187053676
2,197492988462126
-1,2344136628172595
0,11745325423570385

2,2559970833960716
2,0194916396528466
0,17654612698588826
-1,71413553686067

2,632297736564563
2,071171239365543
-0,17309563547298573
-1,4818661181573054

3,7556263606607674
3,9852151106058855
-0,1394484694905333
-1,4004316988271308

3,1795407236046644
2,079107709605966
0,1016005168778752
-1,4078726531213401

3,424431759730839
1,6812631024495635
-0,05258807367095649
-1,2956374611233252

///////1000

3,1306060218381835
2,993252987840966
2,9683410576274993
3,069905979677212
3,0667507869607866
2,939240762342638
2,9682031531578015
3,0888811405669716
2,9316168783034264
2,9541762600486106

3,3421017962132678
2,88001479192495
3,1229938380789273
3,0164338254908616
3,155453881195736
2,695765751311999
3,0465219963840346
3,0783327172850528
2,9206568824259826
3,0723776616219887

1,4019895767031774
1,0183109902330505
1,217278275659766
1,1539794884915016
1,2321850030136332
1,053263213993428
1,2248596323409995
1,1855785728107928
1,1905979584556188
1,2228378450660011

3,384214995871674
1,2297345749376936
2,084590521372248
2,1069741722046658
1,8616277313419332
1,5223513317617465
1,9338472797612303
1,8129252117900325
2,0065263342358106
1,8343395156381828

///////1000000

3,000355463495217
2,996397566246307
3,000069157078147
3,0026842280900543
3,000766144495799
2,99918180227251
2,997254216344212
3,0002052356694335
2,9994609965810355
2,996635858393278

2,987770351200441
2,9953070140379356
3,0040833106926685
3,0024629282752593
2,989487890727517
2,98504776416934
2,978670265922641
2,993864740049868
2,9977516600006995
2,9929787731835904

1,138489101371777
1,1432331015327526
1,1458425706599953
1,1439778348558658
1,138349452430749
1,1291599186769816
1,1380945298015406
1,1398747641128837
1,1471553072160692
1,1428883098817462

1,8707366031948514
1,8829092837119514
1,893506931021669
1,8851883947496706
1,8700025817663972
1,8147379220521183
1,8765527927062093
1,8752640866385608
1,9196523522352003
1,8865934942127751
















